flow_no,inter_pkt_arrival,duration,connection_status,land,no_of_wrong_frags,no_of_urgent,src_port,dst_port,src_ip,dst_ip,src_mac,dst_mac,src_bytes,dst_bytes,minfpktl,meanfpktl,maxfpktl,stdfpktl,minbpktl,meanbpktl,maxbpktl,stdbpktl,minfiat,meanfiat,maxfiat,stdfiat,minbiat,meanbiat,maxbiat,stdbiat,protocol,fpackets,bpackets
100,0.018720652173913045,0.430575000,0,0,23,0,43746,443,192.168.18.19,172.217.19.174,0c:8b:fd:18:40:2f,48:57:02:1c:e3:28,804794145,2092426123,66,116.27272727272727,288,1358870.5454545452,66,117.25,272,1668365.9166666665,0.0,0.00040500000000000003,0.00388,0.004197081150254089,2.7e-05,0.03551,0.31801,0.3999390329966973,eth:ethertype:ip:tcp:tls,11,12
101,1.05e-05,0.000021000,0,0,2,0,443,35824,172.217.19.163,192.168.18.19,48:57:02:1c:e3:28,0c:8b:fd:18:40:2f,297870362,919632537,66,66.0,66,0.0,66,66.0,66,0.0,0.0,0.0,0,0.0,2.1e-05,2.1e-05,2.1e-05,0.0,eth:ethertype:ip:tcp,1,1
102,7.2973199459459455,270.000838000,0,0,37,0,443,52078,192.30.253.125,192.168.18.19,48:57:02:1c:e3:28,0c:8b:fd:18:40:2f,4088243746,2973359412,66,71.71428571428571,90,2057279.999999999,66,74.75,94,1257370.0,0.0,9.309725809523808,30.188842,186.5897721690706,1.9e-05,4.65603725,14.954737,70.18116297436362,eth:ethertype:ip:tcp,21,16
103,8.398880666666669,100.786568000,0,0,12,0,33360,443,192.168.43.243,172.217.19.170,0c:8b:fd:18:40:2f,38:0b:40:bd:bd:4d,1274794679,3619016782,66,68.0,78,115620.0,66,75.33333333333333,122,142313.33333333334,0.0,15.143726833333334,45.847712,78.68944049686463,3.8e-05,1.6540345,6.172601,8.528496828622039,eth:ethertype:ip:tcp,6,6
104,4.389627303571428,245.819129000,0,0,56,0,35952,443,192.168.43.243,172.217.19.3,0c:8b:fd:18:40:2f,38:0b:40:bd:bd:4d,1064624076,3067572788,66,86.14285714285714,159,5410517.785714287,66,96.14285714285714,140,6739474.285714285,0.0,8.40610539285714,46.504595,227.56496440170633,2e-06,0.3731492142857142,3.043466,10.096449698803545,eth:ethertype:ip:tcp:tls,28,28
105,0.1258865,0.251773000,0,0,2,0,57318,443,192.168.18.19,192.30.253.125,0c:8b:fd:18:40:2f,48:57:02:1c:e3:28,2983167309,333792420,66,66.0,66,0.0,66,66.0,66,0.0,0.0,0.0,0,0.0,0.251773,0.251773,0.251773,0.0,eth:ethertype:ip:tcp,1,1
106,1.0977554545454546,289.807440000,0,0,264,0,443,48350,216.58.207.14,192.168.18.19,48:57:02:1c:e3:28,0c:8b:fd:18:40:2f,3415014807,2599915871,66,114.37226277372262,396,241951635.75182524,66,248.1968503937008,1434,978099415.7795286,0.0,0.25250532116788316,30.220028,34.436753103083475,3e-06,2.0095607165354337,21.334522,253.25260538663858,eth:ethertype:ip:tcp,137,127
107,0.1052645,0.210529000,0,0,2,0,52076,443,192.168.18.19,192.30.253.125,0c:8b:fd:18:40:2f,48:57:02:1c:e3:28,3150259043,1539387466,66,66.0,66,0.0,66,66.0,66,0.0,0.0,0.0,0,0.0,0.210529,0.210529,0.210529,0.0,eth:ethertype:ip:tcp,1,1
108,0.951266076923077,12.366459000,0,0,13,0,50356,443,192.168.18.19,216.58.208.225,0c:8b:fd:18:40:2f,48:57:02:1c:e3:28,861735386,2740988321,66,149.375,661,1131153.375,66,226.0,646,867897.5999999999,0.0,1.5238559999999999,12.18989,11.403366105756712,0.014523,0.035122200000000006,0.04945,0.14094582822205134,eth:ethertype:ip:tcp,8,5
109,0.19418570588235298,3.301157000,0,0,17,0,34988,443,192.168.43.243,157.240.7.26,0c:8b:fd:18:40:2f,38:0b:40:bd:bd:4d,0,1252327201,54,114.5,583,1086377.3,66,517.8571428571429,1454,10020284.285714285,0.0,0.10196370000000002,1.011733,0.9664850968503862,2.7e-05,0.32593142857142865,0.951512,1.9935705066910192,eth:ethertype:ip:tcp,10,7
